"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.006708321E-3,9.357606187E-2,1.436920356E-2,4.546970308E-2,1.050259362E-1
1.503870828E-2,3.641974814E-3,1.438172939E-2,-1.216864049E-2,1.918785898E-2
2.507070830E-2,2.275524370E-2,1.599341389E-2,-4.839155674E-3,2.823132713E-2
3.510270832E-2,3.699118556E-2,1.399827995E-2,-3.800105453E-3,3.973336699E-2
4.513470829E-2,4.300234253E-3,-7.708539711E-3,-3.644686460E-2,3.750050051E-2
5.516670831E-2,2.481445947E-2,2.106861435E-3,5.749567151E-3,2.555882991E-2
6.519870833E-2,4.148444189E-2,4.174400344E-3,1.725630283E-2,4.512387976E-2
7.523070829E-2,-3.917808076E-3,5.711852610E-3,3.167436719E-3,7.616241575E-3
8.526270831E-2,-5.347018330E-3,6.373839648E-3,1.213589609E-2,1.471381700E-2
9.529470833E-2,1.745427220E-2,-1.933975713E-3,4.596320808E-2,4.920374353E-2
1.053267083E-1,8.844279125E-4,-7.940518856E-4,8.094300628E-3,8.181102235E-3
1.153587083E-1,6.258316026E-3,1.927775837E-2,3.100427628E-2,3.704137733E-2
1.253907083E-1,1.026226547E-2,2.588754231E-3,2.711997092E-2,2.911200034E-2
1.354227083E-1,5.557874409E-3,5.413233479E-3,3.157496452E-5,7.758483204E-3
1.454547083E-1,2.132663644E-2,1.617120579E-6,2.009395659E-2,2.930174937E-2
1.554867083E-1,1.032666706E-2,5.366629343E-3,2.175047278E-2,2.466827577E-2
1.655187083E-1,9.367029341E-3,1.521510380E-2,2.310761154E-2,2.920962741E-2
1.755505833E-1,6.329807374E-3,1.485172676E-2,5.450774431E-3,1.703969457E-2
1.855825833E-1,-1.630710787E-3,3.926414447E-3,2.017874122E-3,4.706141100E-3
1.956145833E-1,5.333122057E-3,1.448455816E-3,1.774922311E-2,1.858965132E-2
2.056465833E-1,-1.520277897E-2,4.399390239E-4,-1.458120167E-2,2.106963400E-2
2.156785833E-1,-2.258835138E-2,-7.196177440E-3,-4.694144726E-3,2.416720055E-2
2.257105833E-1,4.421949528E-2,-3.670224175E-4,4.695781946E-2,6.450221141E-2
2.357425833E-1,5.777259199E-3,1.081169360E-2,-1.096235991E-2,1.644514448E-2
2.457745833E-1,4.273498773E-2,2.185259806E-3,2.033603132E-2,4.737730159E-2
2.558065833E-1,1.634554418E-2,8.788273763E-3,-4.499432445E-3,1.909595409E-2
2.658385833E-1,6.020920898E-2,3.216130321E-2,2.171071172E-2,7.162997468E-2
2.758705833E-1,-4.106736639E-2,-2.329014516E-2,-3.652521729E-2,5.969129704E-2
2.859025833E-1,2.222295522E-2,5.394632025E-3,1.826494753E-2,2.926721889E-2
2.959345833E-1,-1.340937397E-2,1.184600210E-2,9.730351567E-3,2.036710136E-2
3.059665833E-1,2.422190355E-2,5.606566183E-4,2.664225340E-2,3.601145114E-2
3.159995833E-1,-2.754877739E-2,1.401255995E-2,2.964538336E-4,3.090913873E-2
3.260315833E-1,1.882747252E-2,1.501391390E-2,2.858352900E-2,3.737525200E-2
3.360635833E-1,-2.343132345E-2,1.534634639E-2,-1.617515266E-2,3.234459506E-2
3.460955833E-1,2.502699662E-2,4.759980720E-3,2.289126456E-2,3.424934991E-2
